College,City,State,SAT,ACT,price-without-aid,price-with-avg-grant,students-with-need-who-get-grants,Average-Student-Debt,Early-career-earnings
University of North Carolina at Greensboro,Greensboro, NC,1040,23,21200,11200,0.67,22700,41900
SUNY at Purchase College,Purchase, NY,1080,24,27000,19500,0.98,22500,45500
North Carolina A & T State University,Greensboro, NC,930,20,18300,10300,0.82,29000,49300
Hood College,Frederick, MD,NA,NA,56200,25600,1.00,27000,44400
University of Michigan-Dearborn,Dearborn, MI,NA,25,22600,12200,0.78,25800,52400
North Park University,Chicago, IL,1020,21,42400,21600,N/A,26300,44800
Centenary University,Hackettstown, NJ,940,18,49500,23500,0.98,25500,42600
Xavier University of Louisiana,New Orleans, LA,1000,23,37300,18700,0.67,26500,44700
Eastern Mennonite University,Harrisonburg, VA,1030,24,50800,25200,0.99,23500,43600
Gordon College,Wenham, MA,1050,26,51100,31400,1.00,27000,44700
The Evergreen State College,Olympia, WA,1050,23,21900,14400,0.87,17600,44500
The University of Montana-Western,Dillon, MT,1060,19,18900,11600,0.66,20900,35900
University of Louisville,Louisville, KY,NA,26,27100,17400,0.90,19700,47000
Notre Dame de Namur University,Belmont, CA,910,20,55700,31000,1.00,25200,53500
Emerson College,Boston, MA,1230,28,66900,42200,0.88,23500,46800
The College of Wooster,Wooster, OH,1210,27,63400,32000,0.97,26000,45800
California Institute of the Arts,Valencia, CA,NA,NA,70600,54200,0.99,28500,48200
William Jewell College,Liberty, MO,1130,25,49100,24500,0.91,25000,48200
Eastern Connecticut State University,Willimantic, CT,NA,NA,27700,18300,0.70,23000,46300
Wittenberg University,Springfield, OH,NA,NA,53300,27200,0.97,27000,48400
Plymouth State University,Plymouth, NH,NA,NA,29000,22400,0.64,27000,43500
Andrews University,Berrien Springs, MI,1100,25,40700,23600,0.68,27000,44400
Neumann University,Aston, PA,890,18,47100,24300,0.83,27000,48200
Missouri State University-Springfield,Springfield, MO,1090,24,21600,16000,0.80,22500,43000
Gallaudet University,Washington, DC,890,17,38100,14600,0.98,16500,41900
Hofstra University,Hempstead, NY,1170,27,62700,34500,0.95,23500,53000
Fisher College,Boston, MA,NA,NA,52700,28200,0.85,19200,42800
Mercer University,Macon, GA,1200,27,52500,22200,0.99,25000,46600
Central Michigan University,Mount Pleasant, MI,1020,23,24700,15300,0.78,27000,45000
Samford University,Birmingham, AL,1130,26,47600,31700,0.95,22500,45800
Northern Arizona University,Flagstaff, AZ,NA,NA,27600,15800,0.69,20000,46700
Everglades University,Boca Raton, FL,NA,NA,27100,26800,N/A,40900,44800
Grand View University,Des Moines, IA,960,21,39900,20700,0.90,23900,42700
Ouachita Baptist University,Arkadelphia, AR,1080,25,38500,20200,0.99,22500,42600
Washington College,Chestertown, MD,NA,NA,62500,35100,0.92,24300,49900
Roger Williams University,Bristol, RI,NA,NA,54000,37900,0.69,27000,50000
The University of Alabama,Tuscaloosa, AL,1110,27,30100,21600,0.75,23800,49000
Tuskegee University,Tuskegee, AL,1000,22,40300,30600,0.73,32100,50700
Carroll University,Waukesha, WI,1050,24,45200,26000,1.00,27000,43300
Eureka College,Eureka, IL,1020,22,37600,19800,1.00,25400,41600
Western Michigan University,Kalamazoo, MI,1010,22,25700,16600,0.70,26600,48100
Virginia Commonwealth University,Richmond, VA,1090,24,31900,22100,0.68,23300,47000
Western Illinois University,Macomb, IL,NA,21,26500,17700,0.68,24700,44100
University of Cincinnati-Main Campus,Cincinnati, OH,1160,26,28800,21500,0.42,23000,50700
Cornell College,Mount Vernon, IA,1120,26,57300,30000,1.00,27000,45200
Vanguard University of Southern California,Costa Mesa, CA,930,21,47900,23400,0.62,25000,45200
St Thomas University,Miami Gardens, FL,950,19,48300,20200,N/A,22800,44400
Milwaukee Institute of Art & Design,Milwaukee, WI,NA,NA,49100,26800,0.99,27000,42100
Kutztown University of Pennsylvania,Kutztown, PA,980,20,27700,20800,0.62,26100,42600
SUNY College of Agriculture and Technology at Cobleskill,Cobleskill, NY,1010,22,25400,15900,0.80,17400,39300
Millersville University of Pennsylvania,Millersville, PA,1030,22,29600,20000,0.71,25500,45000
University of the Incarnate Word,San Antonio, TX,900,19,47900,23000,1.00,27200,44200
Howard University,Washington, DC,1140,25,44200,24400,0.63,27000,52200
University of South Carolina-Upstate,Spartanburg, SC,950,21,25500,15500,0.67,22500,43500
East Stroudsburg University of Pennsylvania,East Stroudsburg, PA,940,22,23500,17600,0.67,25000,42700
Rockford University,Rockford, IL,1080,22,44200,25000,0.99,25000,44200
College for Creative Studies,Detroit, MI,NA,23,59200,37900,N/A,27000,48200
University of Alabama at Birmingham,Birmingham, AL,1140,25,26700,17300,0.89,21500,46000
Massachusetts College of Liberal Arts,North Adams, MA,1010,23,25200,16100,0.84,24700,41400
Bridgewater College,Bridgewater, VA,1010,23,50900,21700,1.00,27000,41800
La Roche College,Pittsburgh, PA,920,20,43600,24100,0.80,26000,41700
Millsaps College,Jackson, MS,1140,26,56600,24500,1.00,27000,47100
Abilene Christian University,Abilene, TX,1050,24,49500,28900,0.99,25300,46400
Hampden-Sydney College,Hampden-Sydney, VA,1120,25,61800,35700,1.00,27000,54800
California Baptist University,Riverside, CA,980,22,47100,27800,0.75,27000,43300
Mercy College,Dobbs Ferry, NY,NA,NA,38200,17200,0.87,23700,44300
Alma College,Alma, MI,1030,24,53700,23100,0.99,27000,45700
Southern Wesleyan University,Central, SC,NA,NA,37700,16000,1.00,27000,41600
California University of Pennsylvania,California, PA,920,19,27000,19100,0.83,25000,41700
Hendrix College,Conway, AR,1230,29,61500,24500,1.00,27000,45800
Cleveland Institute of Art,Cleveland, OH,1120,23,58600,32900,1.00,29000,44000
Springfield College,Springfield, MA,1010,26,54000,30500,1.00,24500,42300
Hampton University,Hampton, VA,950,22,41500,26200,0.95,27000,49500
Caldwell University,Caldwell, NJ,960,21,51400,20400,0.98,25800,44300
Claflin University,Orangeburg, SC,890,19,33400,18500,0.95,32200,35100
La Sierra University,Riverside, CA,910,19,46500,25100,1.00,30000,46200
Old Dominion University,Norfolk, VA,1010,22,26200,16300,0.76,23500,47200
Georgia State University,Atlanta, GA,1070,23,26600,15600,0.73,23700,47300
Georgia College and State University,Milledgeville, GA,1130,24,28800,21200,0.40,22000,43300
Minneapolis College of Art and Design,Minneapolis, MN,1070,23,50900,29200,0.99,25800,43300
Whitworth University,Spokane, WA,1130,26,59200,29900,0.99,26000,46800
Columbus College of Art and Design,Columbus, OH,NA,NA,50300,25200,0.99,27000,42000
Goucher College,Baltimore, MD,NA,NA,61200,34500,1.00,26000,47100
Siena Heights University,Adrian, MI,NA,NA,39800,18800,N/A,17700,42500
Berry College,Mount Berry, GA,1150,27,51800,26600,1.00,23000,42000
College of Charleston,Charleston, SC,1100,25,30400,20300,0.67,21500,44100
SUNY College at Potsdam,Potsdam, NY,NA,NA,24700,15300,0.83,25000,40600
California College of the Arts,San Francisco, CA,NA,NA,66500,41100,1.00,28000,52500
Spring Arbor University,Spring Arbor, MI,1020,22,40900,19800,0.99,24000,39800
Brenau University,Gainesville, GA,950,22,46000,21100,0.98,27000,42600
Chaminade University of Honolulu,Honolulu, HI,970,21,42500,20000,0.93,22500,43200
Cumberland University,Lebanon, TN,930,21,37100,22300,0.47,21700,43200
Alverno College,Milwaukee, WI,NA,NA,41400,20300,0.99,31700,44200
Carthage College,Kenosha, WI,1030,24,58600,29600,1.00,27000,46200
Bennington College,Bennington, VT,NA,NA,72500,39800,0.99,26000,45800
Maryland Institute College of Art,Baltimore, MD,1160,25,64400,45000,N/A,27000,45300
Westminster College - Missouri,Fulton, MO,1020,24,41500,22100,1.00,26400,47200
Western Kentucky University,Bowling Green, KY,980,23,22000,12300,0.63,24300,43100
SUNY College of Technology at Delhi,Delhi, NY,NA,NA,24800,15000,N/A,15300,41300
Mansfield University of Pennsylvania,Mansfield, PA,960,21,29400,18300,0.69,27000,41800
Spalding University,Louisville, KY,990,21,37700,22400,N/A,25000,44000
Thomas College,Waterville, ME,NA,NA,40700,22100,0.99,27000,44200
