College Name	City	State	SAT	ACT	price-without-aid	price-with-avg-grant	students-with-need-who-get-grants	Average-Student-Debt	Early-career-earnings
University of Colorado Boulder	Boulder	 CO	1190	28	"$30,900 "	"$24,400 "	76%	"$19,500 "	"$53,400 "
Mississippi University for Women	Columbus	 MS	1080	21	"$19,600 "	"$10,800 "	69%	"$15,000 "	"$40,500 "
Pitzer College	Claremont	 CA	NA	NA	"$72,200 "	"$27,400 "	98%	"$15,900 "	"$49,000 "
Rhodes College	Memphis	 TN	1270	29	"$63,000 "	"$32,000 "	100%	"$26,200 "	"$47,900 "
Winston-Salem State University	Winston-Salem	 NC	870	18	"$20,300 "	"$11,100 "	85%	"$25,700 "	"$44,900 "
Presbyterian College	Clinton	 SC	1110	25	"$53,200 "	"$21,200 "	100%	"$26,100 "	"$46,000 "
Transylvania University	Lexington	 KY	NA	NA	"$51,800 "	"$25,400 "	100%	"$27,000 "	"$46,000 "
Northwood University	Midland	 MI	1000	22	"$41,300 "	"$24,200 "	85%	"$21,800 "	"$45,600 "
Rider University	Lawrenceville	 NJ	1010	22	"$61,100 "	"$31,200 "	98%	"$25,800 "	"$48,700 "
Azusa Pacific University	Azusa	 CA	1020	23	"$53,700 "	"$30,600 "	98%	"$22,500 "	"$47,200 "
Worcester State University	Worcester	 MA	1010	24	"$26,300 "	"$16,800 "	81%	"$20,000 "	"$47,600 "
DeSales University	Center Valley	 PA	1060	25	"$53,600 "	"$27,400 "	94%	"$26,000 "	"$47,400 "
University of Northwestern-St Paul	Saint Paul	 MN	1100	24	"$44,400 "	"$25,600 "	97%	"$22,100 "	"$42,900 "
Framingham State University	Framingham	 MA	990	23	"$26,800 "	"$18,300 "	81%	"$24,700 "	"$46,900 "
University of Nevada-Reno	Reno	 NV	1090	24	"$24,800 "	"$16,100 "	77%	"$18,800 "	"$50,300 "
University of Wisconsin-River Falls	River Falls	 WI	NA	23	"$20,400 "	"$15,100 "	57%	"$22,700 "	"$44,400 "
Saint Edward's University	Austin	 TX	1110	25	"$60,100 "	"$26,400 "	90%	"$25,300 "	"$45,600 "
Franklin College	Franklin	 IN	970	22	"$45,400 "	"$23,700 "	100%	"$27,000 "	"$45,100 "
Lincoln Memorial University	Harrogate	 TN	1000	22	"$37,400 "	"$17,500 "	N/A	"$17,000 "	"$41,100 "
University of North Carolina School of the Arts	Winston-Salem	 NC	1140	25	"$22,500 "	"$14,400 "	86%	"$27,000 "	"$44,200 "
